2019 Salary,Age,Age squared,W-L%,ERA,IP,H9,HR9,BB9,SO9,SP,RP,AL,NL,Left Handed,Right Handed,Ln 2019 Salary
2500000,35,1225,0.667,2.63,68.1,6.8,1.1,2.2,10.4,0,1,1,1,0,1,14.73180129
6500000,23,529,0.5,2.37,38,7.8,0.2,0.9,7.6,0,1,1,0,0,1,15.68731273
1350000,33,1089,0.667,5.22,58.2,10.6,1.8,0.8,6.6,0,1,1,0,0,1,14.11561515
3110000,30,900,0.375,3.46,65,7.8,1.5,2.8,13.3,1,0,1,0,0,1,14.95013328
3250000,29,841,1,3.67,34.1,7.3,1,6,9.2,0,1,1,0,0,1,14.99416555
2500000,36,1296,0.5,1.39,32.1,4.7,0.3,1.9,12,0,1,1,0,1,0,14.73180129
6000000,33,1089,0.7,3,93,7.4,1.3,1.7,7.4,0,1,1,0,0,1,15.60727003
21125000,29,841,0.708,4.28,191.1,8.3,1.3,2.3,8.9,1,0,1,0,0,1,16.86596773
2900000,29,841,0.667,2.54,71,7.2,0.8,2.8,12.8,0,1,1,0,0,1,14.88022129
31000000,32,1024,0.696,3.58,176,7.7,1.3,2.6,9.1,1,0,1,0,1,0,17.24949776
10500000,29,841,0.542,4.03,174.1,8.4,1.3,3.5,8.2,1,0,0,1,1,0,16.16688582
1901000,29,841,0,9.45,6.2,9.5,4.1,9.5,5.4,1,0,1,0,0,1,14.45789062
1000000,29,841,0,4.54,41.2,7.8,1.9,3.9,11,0,1,1,0,0,1,13.81551056
6050000,26,676,0.75,3.93,123.2,7.1,1.4,5.1,12,1,0,0,1,1,0,15.61556883
8500000,29,841,0.143,4.5,56,10.4,1.8,2.4,7.1,0,1,1,0,0,1,15.95557672
1400000,27,729,0.4,3.7,56,8.5,1.4,4,9.5,0,1,1,1,0,1,14.15198279
5250000,41,1681,0.571,3.36,64.1,8.7,1,4.5,9.8,0,1,1,0,0,1,15.47373863
4200000,25,625,0.429,4.18,120.2,7.2,1.1,4.1,6.7,1,0,1,0,1,0,15.25059508
4300000,25,625,0.722,3.82,129.2,8.3,1.1,3.1,10.1,1,0,1,0,1,0,15.27412558
1275000,31,961,0.25,3.58,50.1,6.3,1.1,2.9,9.5,0,1,1,0,0,1,14.05845674
1525000,27,729,0.333,2.63,68.1,6.5,0.4,2.1,9.9,0,1,1,0,1,0,14.23750497
4500000,30,900,0.286,3.2,59,8.8,0.6,3.1,10.2,0,1,1,0,0,1,15.31958795
5750000,31,961,0.471,4.15,149.2,7.9,1,3.7,7.3,1,0,0,1,0,1,15.56471041
1687500,31,961,0.4,6.09,54.2,9.2,1.2,4.3,7.7,0,1,0,1,1,0,14.3387587
8000000,37,1369,0.563,3.65,153,8.8,1.1,3,8.2,1,0,1,0,1,0,15.8949521
15000000,29,841,0.75,2.11,158,5.8,0.6,1.9,13.5,1,0,1,0,1,0,16.52356076
19800000,33,1089,0.167,6.25,44.2,9.5,1.2,5.2,6,1,0,0,1,0,1,16.8011925
3900000,25,625,0.4,4.89,105,9.1,0.9,5,7.4,1,0,1,0,0,1,15.17648711
42142857,33,1089,0.72,2.53,220.2,6.1,0.9,2.1,12.2,1,0,0,1,0,1,17.55657576
5187500,24,576,0.704,3.39,191.1,8.1,0.9,2.2,10.3,1,0,1,0,0,1,15.46176244
9166666,30,900,0.4,5.93,54.2,11.5,1.5,4.6,8.9,0,1,0,1,0,1,16.0310842
3700000,26,676,0.444,4.02,125.1,9.1,1,2.9,9.3,1,0,1,0,1,0,15.12384338
8000000,34,1156,0.833,3.74,45.2,6.7,1.4,2.4,9.1,0,1,1,0,0,1,15.8949521
4225000,28,784,0.4,2.55,53,6.3,0.5,2.5,12.1,0,1,0,1,1,0,15.25652982
1600000,25,625,0.808,1.89,180.2,5.6,0.8,3.2,11,1,0,1,0,1,0,14.28551419
6500000,34,1156,0.429,3.12,60.2,7.9,0.6,2.4,11.1,0,1,1,1,0,1,15.68731273
2250000,34,1156,0.727,2.73,79,7.4,0.3,1.9,10,0,1,0,1,0,1,14.62644077
36428571,29,841,0.588,3.74,130,8.2,1.2,2.6,10.8,1,0,0,1,0,1,17.41086394
7400000,27,729,0.308,5.54,102.1,10.1,0.8,3.2,6.8,1,0,1,0,0,1,15.81699056
6250000,33,1089,0.857,2.26,59.2,5.7,0.6,3.2,8.6,0,1,0,1,0,1,15.64809202
6000000,25,625,0.765,3.03,154.1,8.6,0.5,2.3,9,1,0,0,1,0,1,15.60727003
22000000,29,841,0.667,3.75,156,8.1,1.4,2,9.2,1,0,1,0,0,1,16.90655301
11166666,27,729,0.5,3.94,175.2,6.3,1.3,4.3,8.3,1,0,0,1,0,1,16.22844365
1525000,30,900,0.5,3.62,64.2,7.7,1.3,3.3,9.5,0,1,1,0,0,1,14.23750497
1750000,29,841,1,5.63,24,10.5,2.3,3.8,7.9,0,1,1,0,0,1,14.37512635
6400000,30,900,0.818,0.78,80.1,5.2,0.2,2.4,11.2,0,1,1,0,0,1,15.67180855
1075000,27,729,0.455,4.74,76,8.1,1.9,3.7,7.6,1,0,1,0,0,1,13.88783122
3200000,26,676,0.429,3.98,174,8,1,2.6,6.7,1,0,0,1,0,1,14.97866137
9000000,35,1225,0.438,5.77,92,9.8,1.8,2.9,8.2,1,0,0,1,1,0,16.01273514
4750000,26,676,0.667,2.7,70,8.1,0.5,3.1,11.4,0,1,0,1,1,0,15.37365518
2249000,26,676,0.429,4.85,146.2,8.5,1,3.6,9.9,1,0,0,1,0,1,14.62599623
2250000,33,1089,0.714,3.67,34.1,6.8,0.3,4.2,7.1,0,1,1,1,1,0,14.62644077
28000000,35,1225,0.64,2.52,214,6.6,1.2,1.6,12.2,1,0,1,0,0,1,17.14771507
4800000,27,729,0.5,2.11,38.1,7,0.9,3.5,9.4,0,1,0,1,0,1,15.38412648
6350000,26,676,0.8,3.2,84.1,7.3,1,3.8,7.6,1,0,0,1,0,1,15.66396537
2000000,36,1296,0.333,4.46,40.1,9.1,1.1,4,8.9,1,0,0,1,0,1,14.50865774
5025000,25,625,,3.46,13,10.4,0.7,3.5,6.2,1,0,0,1,0,1,15.42993601
2500000,30,900,0.6,3.14,51.2,8.4,1,3.5,9.1,0,1,1,0,0,1,14.73180129
6500000,33,1089,0.4,2.59,66,7.4,0.5,1.9,9.8,0,1,0,1,1,0,15.68731273
5975000,28,784,0.632,3.31,182.1,7.4,0.7,2.7,8.8,1,0,0,1,0,1,15.60309466
1150000,29,841,0.857,3.27,41.1,7.4,1.3,3.5,8.1,0,1,1,0,0,1,13.9552725
1375000,33,1089,0.75,2.68,53.2,6.9,0.8,4.4,7,1,0,1,0,0,1,14.13396429
3062500,31,961,0.625,2.14,63,5.9,0.9,2.4,12.9,0,1,0,1,0,1,14.93474213
25000000,32,1024,0.467,4.52,131.1,9.6,1.9,1.8,7.6,1,0,1,0,0,1,17.03438638
